0	3.6559861043837345e-06
1	8.395420252708945e-06
2	1.556426602061993e-05
3	2.417323099343914e-05
4	3.303428797382364e-05
5	4.0924621359301024e-05
6	4.6755374279429134e-05
7	4.9721909583055726e-05
8	4.996176744112971e-05
9	4.972406352722673e-05
10	4.927082733490801e-05
11	4.860601035490684e-05
12	4.7735408722175275e-05
13	4.666661268290823e-05
14	4.540894041980281e-05
15	4.397335681249008e-05
16	4.237237784141761e-05
17	4.061996146862737e-05
18	3.873138594677293e-05
19	3.672311661732583e-05
20	3.46126623592763e-05
21	3.241842293986515e-05
22	3.015952859820266e-05
23	2.7855673260347436e-05
24	2.5526942839941695e-05
25	2.3193640121345063e-05
